label,all_image_count,training_image_count
C17H28O3S|-H,10,10
C17H28O5|-H,1,1
C17H30FN3O2|[M]-,1,1
C17H30O13|-H,1,1
C17H30O2|-H,1,1
C17H31NO5|-H,2,2
C17H32O2|-H,1,1
C17H32O4|-H,1,1
C17H33O2|[M]-,1,1
C17H34O2|+Cl,3,3
C17H34O2|-H,1,1
C17H34O4|-H,1,1
C18H12O4|[M]-,1,1
C18H13NO4|-H,6,6
C18H16O6|-H,3,3
C18H16O9|-H,2,2
C18H18O9|-H,1,1
C18H19NO|[M]-,1,1
C18H20N2O5|+Cl,1,1
C18H22N2O4|-H,1,1
C18H22N4O2|-H,1,1
C18H22O5S|-H,1,1
C18H23N3O2|-H,1,1
C18H25O5P|-H,1,1
C18H26O2|-H,1,1
C18H28O2|-H,1,1
C18H28O3S|-H,1,1
C18H30O2|-H,2,2
C18H30O3S|-H,11,11
C18H30O3S|[M]-,1,1
C18H30O3|-H,2,2
C18H30O4|-H,1,1
C18H30O5|-H,1,1
C18H32O16|+Cl,1,1
C18H32O2|+Cl,4,4
C18H32O2|-H,4,4
C18H32O3|-H,2,2
C18H32O4|-H,2,2
C18H32O6|-H,1,1
C18H33O13P|+Cl,1,1
C18H33O2|[M]-,1,1
C18H34O2|+Cl,10,10
C18H34O2|-H,5,5
C18H34O3|+Cl,2,2
C18H34O3|-H,1,1
C18H34O4|-H,2,2
C18H34O5|-H,1,1
C18H35IO2|[M]-,1,1
C18H36O2|+Cl,10,10
C18H36O2|-H,7,7
C18H36O3|+Cl,4,4
C18H36O3|-H,1,1
C18H40O4P2|-H,1,1
C19H14O3|-H,1,1
C19H18O4|-H,1,1
C19H20O12|-H,1,1
C19H20O4|-H,1,1
C19H20O5|-H,1,1
C19H20O8S|+Cl,1,1
C19H22O3|-H,1,1
C19H22O4|-H,18,15
C19H22O|-H,1,1
C19H24O4|+Cl,3,3
C19H26N2O2|-H,1,1
C19H26O4|+Cl,2,2
C19H26O9|-H,1,1
C19H28N4O2|-H,1,1
C19H31N5O2|-H,1,1
C19H34O12|-H,7,5
C19H34O4|-H,1,1
C19H36O4|-H,1,1
C19H38O2|-H,1,1
C19H38O4|+Cl,3,3
C19H39N5O7|-H,1,1
C20H13N3O2|-H,5,5
C20H13N3O|+Cl,4,4
C20H13N3O|-H,10,10
C20H14N4|+Cl,9,9
C20H14N4|-H,9,9
C20H15N3O2|+Cl,1,1
C20H15N3O2|-H,7,7
C20H18N2O|-H,1,1
C20H18O6|-H,1,1
C20H20O10|[M]-,1,1
C20H22ClFN6O2|-H,1,1
C20H22O3|-H,1,1
C20H22O8S|+Cl,1,1
C20H23NO2|[M]-,1,1
C20H23NO|[M]-,1,1
C20H24N4O5S|-H,1,1
C20H24N|-H,1,1
C20H24O3|-H,1,1
C20H24O3|[M]-,1,1
C20H25FN4O|-H,1,1
C20H26N4O2|-H,1,1
C20H26N4O|-H,1,1
C20H26O7|-H,1,1
C20H28O7|+Cl,2,2
C20H29ClO7|-H,3,3
C20H29FN2O3|-H,1,1
C20H29NO3|-H,1,1
C20H30N4O2|-H,1,1
C20H30O2|-H,2,2
C20H30O3|-H,1,1
C20H32O2|+Cl,2,2
C20H32O2|-H,4,4
C20H32O3|-H,1,1
