variant,order,method,source_id,kind,sphere_a,sphere_b
m0-reconstruction,0,permutation_label_invariant,539,view,0.9690765320906138,-0.2467603593595001
m0-reconstruction,0,permutation_label_invariant,436,view,0.9905656747083857,-0.1370388415359688
m0-reconstruction,0,permutation_label_invariant,453,view,0.8858004635719243,-0.4640663085548917
m0-reconstruction,0,permutation_label_invariant,406,view,0.9399722360398182,-0.34125092743361773
m0-reconstruction,0,permutation_label_invariant,539,view,0.9676948892707223,-0.25212417829181827
m0-reconstruction,0,permutation_label_invariant,436,view,0.9923818134302741,-0.12320039112292007
m0-reconstruction,0,permutation_label_invariant,453,view,0.8881618622597542,-0.4595307458998639
m0-reconstruction,0,permutation_label_invariant,406,view,0.9377478137520172,-0.34731691263644515
m0-reconstruction,0,permutation_label_invariant,539,view,0.9694766581008406,-0.24518362383655612
m0-reconstruction,0,permutation_label_invariant,436,view,0.9910661186757129,-0.13337146776225325
m0-reconstruction,0,permutation_label_invariant,453,view,0.8933271283615972,-0.44940698896793124
m0-reconstruction,0,permutation_label_invariant,406,view,0.9380675669877856,-0.3464523629095585
m0-reconstruction,0,permutation_label_invariant,539,view,0.9699335657157777,-0.24336983810217083
m0-reconstruction,0,permutation_label_invariant,436,view,0.997155209124845,-0.07537565200505184
m0-reconstruction,0,permutation_label_invariant,453,view,0.8891654824525381,-0.457585778641497
m0-reconstruction,0,permutation_label_invariant,406,view,0.9387101053452707,-0.34470761251047377
m0-reconstruction,0,permutation_label_invariant,539,view,0.9701602839897363,-0.24246447857150993
m0-reconstruction,0,permutation_label_invariant,436,view,0.9968842303169033,-0.07887858610215477
m0-reconstruction,0,permutation_label_invariant,453,view,0.8856358572516525,-0.46438037033247936
m0-reconstruction,0,permutation_label_invariant,406,view,0.9568273731414096,-0.29065680450887343
m0-reconstruction,0,permutation_label_invariant,539,view,0.9635345211408748,-0.2675840551487046
m0-reconstruction,0,permutation_label_invariant,436,view,0.9991658808514444,0.040835554879994684
m0-reconstruction,0,permutation_label_invariant,453,view,0.8912583646854922,-0.45349589565743814
m0-reconstruction,0,permutation_label_invariant,406,view,0.9380129624919181,-0.34660017627972356
m0-reconstruction,0,permutation_label_invariant,539,view,0.970131908841007,-0.24257798632296435
m0-reconstruction,0,permutation_label_invariant,436,view,0.991437520544276,-0.13058193924512726
m0-reconstruction,0,permutation_label_invariant,453,view,0.8918324407380744,-0.4523658891286663
m0-reconstruction,0,permutation_label_invariant,406,view,0.9414759747018575,-0.3370800929440768
m0-reconstruction,0,permutation_label_invariant,539,view,0.9703088197280495,-0.2418693745763596
m0-reconstruction,0,permutation_label_invariant,436,view,0.9881762150660837,-0.15332243142368004
m0-reconstruction,0,permutation_label_invariant,453,view,0.8790370648821918,-0.4767534358169863
m0-reconstruction,0,permutation_label_invariant,406,view,0.9384207542379951,-0.34549455569573345
m0-reconstruction,0,permutation_label_invariant,539,view,0.9683169662297072,-0.24972435386180528
m0-reconstruction,0,permutation_label_invariant,436,view,0.9922788784557621,-0.1240267203894984
m0-reconstruction,0,permutation_label_invariant,453,view,0.9040831383417988,-0.4273566180206457
m0-reconstruction,0,permutation_label_invariant,406,view,0.9353706912782006,-0.353668870410927
m0-reconstruction,0,permutation_label_invariant,539,view,0.9690913081522247,-0.24670232358818578
m0-reconstruction,0,permutation_label_invariant,436,view,0.9960086570884136,-0.08925668044989629
m0-reconstruction,0,permutation_label_invariant,453,view,0.8827874387742891,-0.4697726449489484
m0-reconstruction,0,permutation_label_invariant,406,view,0.9484930892337688,-0.3167978214504986
m0-reconstruction,0,permutation_label_invariant,539,view,0.9579750214203947,-0.28685163122177687
m0-reconstruction,0,permutation_label_invariant,436,view,0.9916282909030678,-0.1291252596537977
m0-reconstruction,0,permutation_label_invariant,453,view,0.8884002524918507,-0.45906970208500575
