campaign,variant,repetition,scope,metryka,wartość
kidney-architecture-predictive__cfg_529dc0e4494b,0004,2,train-active ∩ test-active,hamming_loss,0.26886531476269515
kidney-architecture-predictive__cfg_529dc0e4494b,0004,2,train-active ∩ test-active,hamming_loss_baseline_positive_rate,0.2692421800453842
kidney-architecture-predictive__cfg_529dc0e4494b,0004,3,all classes (508),average_precision,0.3659460204371914
kidney-architecture-predictive__cfg_529dc0e4494b,0004,3,all classes (508),roc_auc,0.5633614302389557
kidney-architecture-predictive__cfg_529dc0e4494b,0004,3,all classes (508),macro_f1,0.03867185138032674
kidney-architecture-predictive__cfg_529dc0e4494b,0004,3,all classes (508),macro_precision,0.039406244173339364
kidney-architecture-predictive__cfg_529dc0e4494b,0004,3,all classes (508),macro_recall,0.069731173223054
kidney-architecture-predictive__cfg_529dc0e4494b,0004,3,all classes (508),micro_f1,0.10837669036352628
kidney-architecture-predictive__cfg_529dc0e4494b,0004,3,all classes (508),micro_precision,0.06484982269919921
kidney-architecture-predictive__cfg_529dc0e4494b,0004,3,all classes (508),micro_recall,0.32960765256534863
kidney-architecture-predictive__cfg_529dc0e4494b,0004,3,all classes (508),hamming_loss,0.3112682782661116
kidney-architecture-predictive__cfg_529dc0e4494b,0004,3,all classes (508),hamming_loss_baseline_positive_rate,0.05739341307168819
kidney-architecture-predictive__cfg_529dc0e4494b,0004,3,train-active ∩ test-active,average_precision,0.4769724817626623
kidney-architecture-predictive__cfg_529dc0e4494b,0004,3,train-active ∩ test-active,roc_auc,0.6984854767251846
kidney-architecture-predictive__cfg_529dc0e4494b,0004,3,train-active ∩ test-active,macro_f1,0.10597338251228237
kidney-architecture-predictive__cfg_529dc0e4494b,0004,3,train-active ∩ test-active,macro_precision,0.14311874321039653
kidney-architecture-predictive__cfg_529dc0e4494b,0004,3,train-active ∩ test-active,macro_recall,0.149265135357535
kidney-architecture-predictive__cfg_529dc0e4494b,0004,3,train-active ∩ test-active,micro_f1,0.1847836469576846
kidney-architecture-predictive__cfg_529dc0e4494b,0004,3,train-active ∩ test-active,micro_precision,0.4662569293805736
kidney-architecture-predictive__cfg_529dc0e4494b,0004,3,train-active ∩ test-active,micro_recall,0.1152242539758175
kidney-architecture-predictive__cfg_529dc0e4494b,0004,3,train-active ∩ test-active,hamming_loss,0.27373248979657294
kidney-architecture-predictive__cfg_529dc0e4494b,0004,3,train-active ∩ test-active,hamming_loss_baseline_positive_rate,0.2692421800453842
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,all classes (508),average_precision,0.3407015395927709
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,all classes (508),roc_auc,0.541955027648734
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,all classes (508),macro_f1,0.04954992609012094
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,all classes (508),macro_precision,0.04426453378829074
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,all classes (508),macro_recall,0.09860705498734883
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,all classes (508),micro_f1,0.13198067230824442
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,all classes (508),micro_precision,0.07786632461741935
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,all classes (508),micro_recall,0.43267345303255067
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,all classes (508),hamming_loss,0.32664149643486956
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,all classes (508),hamming_loss_baseline_positive_rate,0.05739341307168819
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,train-active ∩ test-active,average_precision,0.4054146745913026
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,train-active ∩ test-active,roc_auc,0.6145409927094246
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,train-active ∩ test-active,macro_f1,0.11911546549705603
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,train-active ∩ test-active,macro_precision,0.16851317257834272
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,train-active ∩ test-active,macro_recall,0.15549133638353332
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,train-active ∩ test-active,micro_f1,0.19630681128824828
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,train-active ∩ test-active,micro_precision,0.5299358050569893
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,train-active ∩ test-active,micro_recall,0.1204657811662398
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,train-active ∩ test-active,hamming_loss,0.2655777665520034
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,train-active ∩ test-active,hamming_loss_baseline_positive_rate,0.2692421800453842
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,all classes (508),average_precision,0.35607234692851525
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,all classes (508),roc_auc,0.5687456227594614
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,all classes (508),macro_f1,0.04803862532690444
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,all classes (508),macro_precision,0.0438286190021844
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,all classes (508),macro_recall,0.0985070646753305
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,all classes (508),micro_f1,0.13476074718355865
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,all classes (508),micro_precision,0.07984076307595286
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,all classes (508),micro_recall,0.43174416423687484
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,all classes (508),hamming_loss,0.31819351719737493
