campaign,variant,repetition,metryka,wartość
kidney-architecture-predictive__cfg_529dc0e4494b,0004,3,trace_within,0.15548909961701768
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,effective_rank_total,2.573204017878208
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,effective_rank_between,1.1942126676993448
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,effective_rank_within,2.934192500526507
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,between_share,0.6070248081969799
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,trace_total,0.26362480677552214
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,trace_between,0.1600267977688772
kidney-architecture-predictive__cfg_529dc0e4494b,0004,4,trace_within,0.10359800900664548
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,effective_rank_total,2.2669116028436496
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,effective_rank_between,1.2345233308620185
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,effective_rank_within,3.0683002557612755
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,between_share,0.6908787540637036
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,trace_total,0.27146547961153844
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,trace_between,0.1875497323253254
kidney-architecture-predictive__cfg_529dc0e4494b,0006,0,trace_within,0.0839157472862131
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,effective_rank_total,2.2568833803903994
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,effective_rank_between,1.1637683252774496
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,effective_rank_within,3.155019982573322
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,between_share,0.6502037977615115
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,trace_total,0.3026763946885765
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,trace_between,0.19680134131927463
kidney-architecture-predictive__cfg_529dc0e4494b,0006,1,trace_within,0.10587505336930146
kidney-architecture-predictive__cfg_529dc0e4494b,0006,2,effective_rank_total,2.353745140917977
kidney-architecture-predictive__cfg_529dc0e4494b,0006,2,effective_rank_between,1.1837795081079674
kidney-architecture-predictive__cfg_529dc0e4494b,0006,2,effective_rank_within,3.1383878690231155
kidney-architecture-predictive__cfg_529dc0e4494b,0006,2,between_share,0.6789371900366319
kidney-architecture-predictive__cfg_529dc0e4494b,0006,2,trace_total,0.35831797526594095
kidney-architecture-predictive__cfg_529dc0e4494b,0006,2,trace_between,0.2432753992666733
kidney-architecture-predictive__cfg_529dc0e4494b,0006,2,trace_within,0.11504257599926741
kidney-architecture-predictive__cfg_529dc0e4494b,0006,3,effective_rank_total,2.6688468479916483
kidney-architecture-predictive__cfg_529dc0e4494b,0006,3,effective_rank_between,1.2707670736765995
kidney-architecture-predictive__cfg_529dc0e4494b,0006,3,effective_rank_within,2.9595851883507422
kidney-architecture-predictive__cfg_529dc0e4494b,0006,3,between_share,0.5910838118603448
kidney-architecture-predictive__cfg_529dc0e4494b,0006,3,trace_total,0.37549651975244497
kidney-architecture-predictive__cfg_529dc0e4494b,0006,3,trace_between,0.22194991423556842
kidney-architecture-predictive__cfg_529dc0e4494b,0006,3,trace_within,0.1535466055168764
kidney-architecture-predictive__cfg_529dc0e4494b,0006,4,effective_rank_total,2.4657184876344416
kidney-architecture-predictive__cfg_529dc0e4494b,0006,4,effective_rank_between,1.184183075702558
kidney-architecture-predictive__cfg_529dc0e4494b,0006,4,effective_rank_within,2.9650747124898467
kidney-architecture-predictive__cfg_529dc0e4494b,0006,4,between_share,0.6245555974645908
kidney-architecture-predictive__cfg_529dc0e4494b,0006,4,trace_total,0.2683251570513566
kidney-architecture-predictive__cfg_529dc0e4494b,0006,4,trace_between,0.1675839787769902
kidney-architecture-predictive__cfg_529dc0e4494b,0006,4,trace_within,0.10074117827436616
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,0,effective_rank_total,2.4704272790605106
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,0,effective_rank_between,1.2083677441481901
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,0,effective_rank_within,3.5372404505502626
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,0,between_share,0.6785480910397926
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,0,trace_total,5.90848018022672
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,0,trace_between,4.00918794723929
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,0,trace_within,1.8992922329874264
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,1,effective_rank_total,2.284199515765027
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,1,effective_rank_between,1.1417065822622272
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,1,effective_rank_within,3.525295141319962
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,1,between_share,0.6904335668996079
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,1,trace_total,5.648415491637011
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,1,trace_between,3.899855655221944
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,1,trace_within,1.7485598364150678
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,2,effective_rank_total,2.407806186174527
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,2,effective_rank_between,1.1609974367577116
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,2,effective_rank_within,3.631136354856499
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,2,between_share,0.68580206124104
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,2,trace_total,5.577419206848793
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,2,trace_between,3.8250055884622687
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,2,trace_within,1.7524136183865255
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,3,effective_rank_total,2.5312730544109154
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,3,effective_rank_between,1.1971359481826498
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,3,effective_rank_within,3.4904448530191132
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,3,between_share,0.6572780197539456
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,3,trace_total,5.27466762530071
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,3,trace_between,3.4669230916178972
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,3,trace_within,1.8077445336828097
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,4,effective_rank_total,2.526871670320739
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,4,effective_rank_between,1.224154960024771
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,4,effective_rank_within,3.2738523439146325
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,4,between_share,0.6722071188354504
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,4,trace_total,5.453691951314273
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,4,trace_between,3.666010553609053
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0011,4,trace_within,1.787681397705223
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,0,effective_rank_total,2.6054303936363294
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,0,effective_rank_between,1.2153211593090376
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,0,effective_rank_within,3.604700823200251
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,0,between_share,0.6791854284827938
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,0,trace_total,6.52933215326545
kidney-nnpu-objective-controls__cfg_0df14edbfadf,0012,0,trace_between,4.434627256222078
