campaign,variant,repetition,scope,metryka,wartość
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,2,all classes (508),hamming_loss_baseline_positive_rate,0.05739341307168819
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,2,train-active ∩ test-active,average_precision,0.4828817759098778
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,2,train-active ∩ test-active,roc_auc,0.6895978074155107
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,2,train-active ∩ test-active,macro_f1,0.12964379969210968
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,2,train-active ∩ test-active,macro_precision,0.13372402991071014
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,2,train-active ∩ test-active,macro_recall,0.18463531307558947
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,2,train-active ∩ test-active,micro_f1,0.2520721940741087
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,2,train-active ∩ test-active,micro_precision,0.5835044860015134
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,2,train-active ∩ test-active,micro_recall,0.16076002144261123
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,2,train-active ∩ test-active,hamming_loss,0.2568537361782653
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,2,train-active ∩ test-active,hamming_loss_baseline_positive_rate,0.2692421800453842
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,3,all classes (508),average_precision,0.35258536900472687
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,3,all classes (508),roc_auc,0.563084245769719
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,3,all classes (508),macro_f1,0.04042345040312804
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,3,all classes (508),macro_precision,0.04068107761986477
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,3,all classes (508),macro_recall,0.07280137066891298
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,3,all classes (508),micro_f1,0.11957367523075935
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,3,all classes (508),micro_precision,0.0718130853302373
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,3,all classes (508),micro_recall,0.3570088836598633
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,3,all classes (508),hamming_loss,0.30173696129147165
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,3,all classes (508),hamming_loss_baseline_positive_rate,0.05739341307168819
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,3,train-active ∩ test-active,average_precision,0.4592969767680715
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,3,train-active ∩ test-active,roc_auc,0.6911160047099972
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,3,train-active ∩ test-active,macro_f1,0.11548033820962574
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,3,train-active ∩ test-active,macro_precision,0.16681770874605006
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,3,train-active ∩ test-active,macro_recall,0.17085863236517337
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,3,train-active ∩ test-active,micro_f1,0.18637724550898205
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,3,train-active ∩ test-active,micro_precision,0.434270765206017
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,3,train-active ∩ test-active,micro_recall,0.11864911549228661
kidney-nnpu-long-training__cfg_ea47f92b36b9,bce,3,train-active ∩ test-active,hamming_loss,0.2789123828309799
