variant,order,source_id,kind,sphere_a,sphere_b
m0-reconstruction,0,436,perturbed,0.9910433664242587,-0.13354042783544054
m0-reconstruction,0,453,perturbed,0.8668110889294453,-0.49863667746060275
m0-reconstruction,0,406,perturbed,0.9374107366641107,-0.34822566072426286
m0-reconstruction,0,539,perturbed,0.9722440912049201,-0.23396885928926323
m0-reconstruction,0,436,perturbed,0.9960973829025355,-0.0882609980383159
m0-reconstruction,0,453,perturbed,0.8599750619750234,-0.5103360586721799
m0-reconstruction,0,406,perturbed,0.941846565252793,-0.3360432226983852
m0-reconstruction,0,539,perturbed,0.9543272018106631,-0.2987634379977405
m0-reconstruction,0,436,perturbed,0.9865330658624533,-0.16356194532967702
m0-reconstruction,0,453,perturbed,0.8978090889002264,-0.44038487699754825
m0-reconstruction,0,406,perturbed,0.9414215813794904,-0.33723197670585675
m0-reconstruction,0,539,perturbed,0.9756955954783462,-0.21913033784520936
m0-reconstruction,0,436,perturbed,0.9900733964616203,-0.14055130600229654
m0-reconstruction,0,453,perturbed,0.9031030184907499,-0.42942396066462823
m0-reconstruction,0,406,perturbed,0.9454272800441091,-0.32583317533424594
m0-reconstruction,0,539,perturbed,0.9772249779124961,-0.21220589658141295
m0-reconstruction,0,436,perturbed,0.9894386299810953,-0.14495239736248966
m0-reconstruction,0,453,perturbed,0.8903030640213756,-0.45536848177509004
m0-reconstruction,0,406,perturbed,0.9394949964899104,-0.3425626243045544
m0-reconstruction,0,539,perturbed,0.9636252405970271,-0.2672571714366547
m0-reconstruction,0,436,perturbed,0.993626270907949,-0.11272459253225647
m0-reconstruction,0,453,perturbed,0.8965818977943784,-0.4428779747824798
m0-reconstruction,0,406,perturbed,0.9463583759115152,-0.32311890124553094
m0-reconstruction,0,539,perturbed,0.9684393314286259,-0.24924939587103523
m0-reconstruction,0,436,perturbed,0.9963722329534674,-0.08510213510436267
m0-reconstruction,0,453,perturbed,0.8831707026978468,-0.4690517134561941
m0-reconstruction,0,406,perturbed,0.9270223055884356,-0.37500619320419365
m0-reconstruction,0,539,perturbed,0.9669322920277048,-0.25503321868738854
m0-reconstruction,0,436,perturbed,0.9941130894872549,-0.10834742871939883
m0-reconstruction,0,453,perturbed,0.8861055648479339,-0.46348347105967436
m0-reconstruction,0,406,perturbed,0.9396897466757651,-0.3420280397751574
m0-reconstruction,0,539,perturbed,0.9683070163668449,-0.24976293170672617
m0-reconstruction,0,436,perturbed,0.9917618434828364,-0.1280954558582227
m0-reconstruction,0,453,perturbed,0.8930791068410014,-0.4498996653967185
m0-reconstruction,0,406,perturbed,0.9319685666559537,-0.3625390886032114
m0-reconstruction,0,539,perturbed,0.9668981889801368,-0.25516248185603574
m0-reconstruction,0,436,perturbed,0.9946506050299891,-0.10329653388897612
m0-reconstruction,0,453,perturbed,0.8869834842900384,-0.46180114616218015
m0-reconstruction,0,406,perturbed,0.9415247981435472,-0.3369436963065978
m0-reconstruction,0,539,perturbed,0.9643707462008845,-0.26455446295980206
m0-reconstruction,0,436,perturbed,0.9893980585850974,-0.14522906619557988
m0-reconstruction,0,453,perturbed,0.9035429801402233,-0.4284974714503273
m0-reconstruction,0,406,perturbed,0.9329138733170114,-0.36009957646830304
m0-reconstruction,0,539,perturbed,0.9729206378867256,-0.23113942193855003
m0-reconstruction,0,436,perturbed,0.993399816957583,-0.11470311098065661
m0-reconstruction,0,453,perturbed,0.8970834687260408,-0.44186112087221974
m0-reconstruction,0,406,perturbed,0.9399571363607464,-0.34129251647890735
m0-reconstruction,0,539,perturbed,0.9734773005638686,-0.22878362110711412
m0-reconstruction,0,436,perturbed,0.9891371335671718,-0.14699568360505932
m0-reconstruction,0,453,perturbed,0.8822744020006534,-0.47073546666295446
m0-reconstruction,0,406,perturbed,0.9341892506444747,-0.35677786363550484
m0-reconstruction,0,539,perturbed,0.9631397931258812,-0.2690013734118001
m0-reconstruction,0,436,perturbed,0.9941888487659053,-0.10765004872048965
m0-reconstruction,0,453,perturbed,0.8952651826749721,-0.44553367178020203
m0-reconstruction,0,406,perturbed,0.9442500572613798,-0.32922914415628657
m0-reconstruction,0,539,perturbed,0.9704150374943464,-0.24144286074524218
m0-reconstruction,0,436,perturbed,0.9902498426110501,-0.13930272505873892
m0-reconstruction,0,453,perturbed,0.8925099912108923,-0.4510276217580616
m0-reconstruction,0,406,perturbed,0.9391562622252166,-0.3434901965459277
m0-reconstruction,0,539,perturbed,0.965572739049866,-0.2601332074221576
m0-reconstruction,0,436,perturbed,0.9920644074274707,-0.1257307103120849
m0-reconstruction,0,453,perturbed,0.9055257606905495,-0.42429128759120394
m0-reconstruction,0,406,perturbed,0.9487926092447413,-0.315899643308687
m0-reconstruction,0,539,perturbed,0.9732104939218689,-0.22991592924447846
m0-reconstruction,0,436,perturbed,0.9981180371088928,-0.06132196994463646
m0-reconstruction,0,453,perturbed,0.8952628498788058,-0.44553835932148284
m0-reconstruction,0,406,perturbed,0.9381326159498983,-0.3462761829681628
m0-reconstruction,0,539,perturbed,0.9728338745368974,-0.23150432512920383
m0-reconstruction,0,436,perturbed,0.9916587565915761,-0.12889107989015017
m0-reconstruction,0,453,perturbed,0.8901015519465542,-0.45576224857082637
m0-reconstruction,0,406,perturbed,0.9307460161463473,-0.36566631431908425
m0-reconstruction,0,539,perturbed,0.9640027050727371,-0.2658924305286732
m0-reconstruction,0,436,perturbed,0.9924059232477707,-0.12300603035111787
m0-reconstruction,0,453,perturbed,0.8956485391968623,-0.4447625144214906
m0-reconstruction,0,406,perturbed,0.9397233375948554,-0.34193573779233083
m0-reconstruction,0,539,perturbed,0.9636566803307913,-0.26714378610373696
m0-reconstruction,0,436,perturbed,0.99221739532078,-0.12451763097187032
m0-reconstruction,0,453,perturbed,0.8897913561238647,-0.4563675520534451
m0-reconstruction,0,406,perturbed,0.9280501180379735,-0.37245533746974724
m0-reconstruction,0,539,perturbed,0.9653816090179855,-0.26084161663707983
m0-reconstruction,0,436,perturbed,0.9905421686851081,-0.13720864424883303
m0-reconstruction,0,453,perturbed,0.8787782904684052,-0.4772302549099622
m0-reconstruction,0,406,perturbed,0.942133319209204,-0.3352384357973415
m0-reconstruction,0,539,perturbed,0.9756531929251743,-0.21931905328747148
m0-reconstruction,0,436,perturbed,0.9893665886291799,-0.14544329927590002
m0-reconstruction,0,453,perturbed,0.895149766074539,-0.4457655171687218
m0-reconstruction,0,406,perturbed,0.9455488843675848,-0.32548011808897914
m0-reconstruction,0,539,perturbed,0.9581844784677584,-0.2861511929443414
m0-reconstruction,0,436,perturbed,0.9874902492383913,-0.15768008009605927
m0-reconstruction,0,453,perturbed,0.9189977213660788,-0.3942628414192172
